transaction_id,customer_id,amount,merchant_category,hour,day_of_week,transactions_last_24h,avg_customer_amount,is_foreign,is_fraud
TXN-10000,CUST-1039,660.02,grocery,22,0,2,711.66,0,0
TXN-10001,CUST-1078,532.14,gaming,19,1,4,339.68,0,0
TXN-10002,CUST-1115,441.16,utility,19,2,2,909.37,0,1
TXN-10003,CUST-1105,1621.66,utility,9,1,2,1009.6,0,0
TXN-10004,CUST-1112,309.0,grocery,11,2,3,205.81,0,0
TXN-10005,CUST-1018,2310.51,electronics,15,6,3,294.07,0,0
TXN-10006,CUST-1064,416.1,utility,12,2,4,645.69,0,0
TXN-10007,CUST-1090,958.88,grocery,7,4,10,505.76,0,0
TXN-10008,CUST-1078,519.28,grocery,20,4,3,596.31,0,0
TXN-10009,CUST-1097,219.82,grocery,18,0,2,376.47,1,0
TXN-10010,CUST-1026,280.39,electronics,15,1,2,976.2,0,0
TXN-10011,CUST-1057,663.66,grocery,12,2,1,923.14,0,0
TXN-10012,CUST-1055,747.46,jewelry,2,3,6,624.1,0,0
TXN-10013,CUST-1117,309.01,restaurant,7,0,2,1118.77,0,0
TXN-10014,CUST-1025,1033.34,grocery,14,4,3,778.31,1,0
TXN-10015,CUST-1040,1173.95,gaming,19,2,0,375.17,0,0
TXN-10016,CUST-1002,1446.97,grocery,22,2,5,737.17,0,0
TXN-10017,CUST-1018,732.94,grocery,11,4,1,355.18,0,0
TXN-10018,CUST-1122,1370.01,utility,17,6,2,975.69,0,0
TXN-10019,CUST-1105,120.23,travel,10,6,1,585.54,1,0
TXN-10020,CUST-1032,388.22,restaurant,0,6,1,543.66,0,0
TXN-10021,CUST-1087,257.17,electronics,12,2,4,413.84,0,0
TXN-10022,CUST-1074,538.84,grocery,21,0,2,1178.97,0,0
TXN-10023,CUST-1113,320.99,travel,18,1,3,552.81,0,0
TXN-10024,CUST-1037,435.02,grocery,14,2,5,475.53,0,1
TXN-10025,CUST-1124,2021.57,utility,11,2,2,495.88,0,0
TXN-10026,CUST-1046,433.85,jewelry,9,1,4,806.55,0,0
TXN-10027,CUST-1089,672.06,fuel,11,1,3,735.83,0,0
TXN-10028,CUST-1049,413.97,electronics,9,1,1,755.22,0,0
TXN-10029,CUST-1083,521.54,gaming,4,4,2,762.77,0,0
TXN-10030,CUST-1041,494.98,utility,18,3,2,1954.53,1,0
TXN-10031,CUST-1105,689.69,grocery,3,0,2,481.29,0,0
TXN-10032,CUST-1079,1180.84,grocery,7,3,1,454.08,0,0
TXN-10033,CUST-1036,15287.74,grocery,15,5,7,384.69,0,0
TXN-10034,CUST-1120,621.55,travel,11,2,0,844.54,0,0
TXN-10035,CUST-1088,766.75,electronics,14,2,1,1119.83,0,0
TXN-10036,CUST-1053,207.86,grocery,9,1,1,565.28,0,0
TXN-10037,CUST-1016,461.32,travel,10,2,4,379.14,0,0
TXN-10038,CUST-1121,997.47,travel,1,1,1,382.43,0,0
TXN-10039,CUST-1094,943.39,grocery,18,6,1,860.77,0,0
TXN-10040,CUST-1083,577.5,restaurant,13,6,3,905.77,0,0
TXN-10041,CUST-1104,957.95,gaming,15,2,3,811.38,0,0
TXN-10042,CUST-1075,712.0,travel,0,6,2,417.37,0,0
TXN-10043,CUST-1029,1212.25,electronics,11,5,2,683.82,0,0
TXN-10044,CUST-1029,612.18,fuel,4,0,1,641.74,0,0
TXN-10045,CUST-1009,377.37,utility,3,3,0,678.77,0,0
TXN-10046,CUST-1007,633.89,gaming,7,4,3,971.93,0,0
TXN-10047,CUST-1091,54.71,electronics,2,2,0,680.6,0,0
TXN-10048,CUST-1106,656.66,restaurant,16,3,1,874.28,0,0
TXN-10049,CUST-1020,31.93,utility,11,3,3,624.64,0,0
TXN-10050,CUST-1071,135.29,utility,0,4,0,705.58,0,0
TXN-10051,CUST-1015,691.47,fuel,12,2,0,851.68,0,0
TXN-10052,CUST-1051,704.96,grocery,17,4,2,270.04,0,0
TXN-10053,CUST-1098,206.06,jewelry,19,1,2,504.81,0,0
TXN-10054,CUST-1101,288.85,electronics,8,6,1,464.65,1,0
TXN-10055,CUST-1118,1377.33,jewelry,13,0,6,423.53,0,0
TXN-10056,CUST-1038,342.74,utility,7,0,7,517.33,0,0
TXN-10057,CUST-1118,2649.67,fuel,14,0,5,1369.52,1,0
TXN-10058,CUST-1097,492.04,fuel,10,2,6,373.83,0,0
TXN-10059,CUST-1042,669.16,electronics,12,4,4,1025.11,0,1
TXN-10060,CUST-1040,1656.82,fuel,14,6,1,238.51,0,0
TXN-10061,CUST-1013,543.63,gaming,12,3,2,500.6,0,0
TXN-10062,CUST-1115,232.35,utility,13,1,3,658.2,0,0
TXN-10063,CUST-1025,453.82,electronics,19,2,1,830.83,0,0
TXN-10064,CUST-1033,479.76,jewelry,19,0,3,889.96,0,0
TXN-10065,CUST-1051,177.05,electronics,7,3,1,931.08,0,0
TXN-10066,CUST-1017,406.72,jewelry,13,5,2,496.81,0,0
TXN-10067,CUST-1100,282.41,fuel,20,0,2,466.71,0,0
TXN-10068,CUST-1087,985.62,jewelry,15,5,1,964.77,0,0
TXN-10069,CUST-1019,505.71,jewelry,10,1,3,541.74,0,0
TXN-10070,CUST-1020,398.58,fuel,16,4,7,298.38,1,1
TXN-10071,CUST-1002,455.03,electronics,9,5,0,322.69,0,0
TXN-10072,CUST-1118,5256.35,utility,7,5,12,362.96,0,1
TXN-10073,CUST-1054,782.59,fuel,3,4,3,791.11,0,0
TXN-10074,CUST-1081,232.81,jewelry,15,4,3,650.89,1,0
TXN-10075,CUST-1018,225.61,restaurant,19,1,2,879.86,0,0
TXN-10076,CUST-1028,1128.35,utility,12,0,0,475.81,0,0
TXN-10077,CUST-1067,361.68,travel,20,2,1,656.68,0,0
TXN-10078,CUST-1026,170.27,gaming,13,4,4,849.01,0,0
TXN-10079,CUST-1076,687.36,restaurant,18,4,0,507.68,0,0
TXN-10080,CUST-1115,697.52,electronics,1,5,1,773.73,0,0
TXN-10081,CUST-1038,156.33,grocery,8,2,1,418.19,1,0
TXN-10082,CUST-1075,585.29,grocery,19,6,1,492.91,0,0
TXN-10083,CUST-1114,855.5,utility,2,3,4,487.87,0,0
TXN-10084,CUST-1111,652.49,travel,22,1,1,311.78,0,0
TXN-10085,CUST-1000,791.54,fuel,12,5,2,786.69,0,0
TXN-10086,CUST-1013,171.88,fuel,7,0,4,464.9,0,0
TXN-10087,CUST-1123,631.62,utility,22,2,1,606.0,0,0
TXN-10088,CUST-1115,392.7,electronics,16,5,2,784.0,0,0
TXN-10089,CUST-1040,343.06,utility,4,5,3,769.39,0,1
TXN-10090,CUST-1065,946.64,jewelry,19,1,3,867.8,0,0
TXN-10091,CUST-1071,1494.36,restaurant,21,1,2,570.11,0,0
TXN-10092,CUST-1083,1892.73,utility,11,0,3,476.84,0,0
TXN-10093,CUST-1093,1320.95,fuel,19,0,5,576.03,1,0
TXN-10094,CUST-1046,3399.06,gaming,19,5,7,237.93,0,1
TXN-10095,CUST-1111,641.97,grocery,3,5,2,271.53,0,0
TXN-10096,CUST-1007,875.78,restaurant,17,3,2,290.76,0,0
TXN-10097,CUST-1004,539.63,fuel,11,3,3,347.76,0,0
TXN-10098,CUST-1119,543.52,gaming,21,2,1,749.85,0,0
TXN-10099,CUST-1022,913.99,utility,22,1,3,365.76,0,0
TXN-10100,CUST-1124,471.32,grocery,22,0,2,488.83,0,0
TXN-10101,CUST-1035,285.16,utility,18,4,2,1229.76,0,0
TXN-10102,CUST-1045,361.1,grocery,7,0,1,494.75,0,0
TXN-10103,CUST-1003,792.69,travel,12,0,2,902.92,0,0
TXN-10104,CUST-1117,493.86,electronics,14,5,1,360.15,0,0
TXN-10105,CUST-1044,635.97,travel,22,4,4,537.54,0,1
TXN-10106,CUST-1020,814.49,gaming,15,3,1,356.91,0,0
TXN-10107,CUST-1060,371.99,restaurant,15,1,4,499.46,0,0
TXN-10108,CUST-1019,868.86,fuel,9,1,4,955.44,0,0
TXN-10109,CUST-1098,654.67,gaming,19,3,2,232.75,0,0
TXN-10110,CUST-1009,195.17,utility,12,2,1,764.28,0,0
TXN-10111,CUST-1062,1453.5,utility,8,3,4,685.92,0,0
TXN-10112,CUST-1048,338.47,grocery,22,1,5,434.08,0,0
TXN-10113,CUST-1004,142.41,restaurant,10,1,3,271.69,0,0
TXN-10114,CUST-1006,225.03,grocery,7,0,3,626.2,0,0
TXN-10115,CUST-1064,229.11,gaming,8,2,2,449.79,0,0
TXN-10116,CUST-1049,512.41,gaming,14,1,2,684.01,0,0
TXN-10117,CUST-1016,401.26,utility,8,1,2,609.12,0,0
TXN-10118,CUST-1017,382.75,grocery,20,3,4,1452.41,1,0
TXN-10119,CUST-1100,784.29,grocery,3,3,2,527.61,0,0
TXN-10120,CUST-1091,635.81,utility,12,1,2,342.78,0,0
TXN-10121,CUST-1075,624.55,grocery,7,4,0,664.21,0,0
TXN-10122,CUST-1104,670.06,electronics,14,2,1,679.26,0,0
TXN-10123,CUST-1008,782.19,jewelry,9,2,1,1270.99,0,0
TXN-10124,CUST-1085,101.4,gaming,22,3,2,952.71,0,0
TXN-10125,CUST-1094,374.9,grocery,11,0,2,732.37,1,0
TXN-10126,CUST-1025,96.05,fuel,14,2,3,1345.9,0,0
TXN-10127,CUST-1067,2353.27,restaurant,7,4,10,312.99,0,1
TXN-10128,CUST-1095,491.04,travel,9,0,2,423.32,0,0
TXN-10129,CUST-1075,1079.39,grocery,10,3,2,361.54,1,0
TXN-10130,CUST-1031,1200.78,grocery,7,0,0,485.71,0,0
TXN-10131,CUST-1083,3172.16,fuel,18,4,9,282.26,0,1
TXN-10132,CUST-1094,338.57,restaurant,22,0,1,853.49,0,0
TXN-10133,CUST-1001,709.01,fuel,22,1,2,532.6,1,1
TXN-10134,CUST-1070,331.64,grocery,3,2,1,268.02,0,0
TXN-10135,CUST-1063,492.23,electronics,19,4,1,344.27,0,0
TXN-10136,CUST-1045,1032.36,grocery,15,5,1,715.11,1,0
TXN-10137,CUST-1005,324.3,fuel,7,3,1,954.29,0,0
TXN-10138,CUST-1010,901.68,restaurant,8,0,2,1804.79,0,0
TXN-10139,CUST-1093,818.97,jewelry,15,2,1,2988.79,0,0
TXN-10140,CUST-1103,240.79,grocery,13,5,1,755.91,0,0
TXN-10141,CUST-1052,1022.92,travel,7,0,4,349.24,0,0
TXN-10142,CUST-1117,832.08,grocery,21,5,1,186.3,0,0
TXN-10143,CUST-1115,531.89,grocery,18,2,0,697.32,0,0
TXN-10144,CUST-1083,278.18,gaming,15,0,0,384.86,0,0
TXN-10145,CUST-1072,258.68,electronics,22,4,2,478.93,0,0
TXN-10146,CUST-1120,329.23,utility,22,0,3,429.81,0,0
TXN-10147,CUST-1076,740.22,utility,4,2,1,557.0,0,0
TXN-10148,CUST-1116,240.63,fuel,11,1,1,1081.7,0,0
TXN-10149,CUST-1122,684.12,restaurant,4,4,1,656.14,0,0
TXN-10150,CUST-1024,194.16,electronics,15,0,1,551.56,0,0
TXN-10151,CUST-1082,422.82,fuel,18,0,1,340.49,0,0
TXN-10152,CUST-1091,534.98,utility,20,3,2,239.59,1,0
TXN-10153,CUST-1102,3083.58,grocery,9,6,1,460.6,0,0
TXN-10154,CUST-1043,175.39,electronics,14,0,2,584.3,0,0
TXN-10155,CUST-1107,1486.25,jewelry,9,3,5,1591.39,0,0
TXN-10156,CUST-1060,1995.84,fuel,11,5,13,646.55,0,1
TXN-10157,CUST-1048,670.74,utility,13,2,2,1033.29,1,0
TXN-10158,CUST-1019,538.49,fuel,20,3,2,457.32,0,0
TXN-10159,CUST-1040,687.83,utility,20,5,3,313.65,0,0
TXN-10160,CUST-1121,439.1,grocery,13,5,2,353.96,0,0
TXN-10161,CUST-1089,10582.68,grocery,1,2,7,403.88,0,0
TXN-10162,CUST-1090,349.9,travel,2,5,1,1940.42,0,0
TXN-10163,CUST-1111,1151.91,utility,21,4,5,383.08,0,0
TXN-10164,CUST-1033,303.91,grocery,22,3,3,954.48,1,0
TXN-10165,CUST-1082,470.98,utility,10,3,3,366.28,0,0
TXN-10166,CUST-1046,220.53,fuel,9,6,1,1004.62,0,0
TXN-10167,CUST-1105,693.16,electronics,1,6,4,743.76,0,0
TXN-10168,CUST-1052,1456.58,travel,11,6,2,552.17,0,0
TXN-10169,CUST-1106,464.97,grocery,10,4,1,588.5,0,0
TXN-10170,CUST-1093,425.1,restaurant,7,2,3,419.84,0,0
TXN-10171,CUST-1096,213.59,travel,13,0,2,769.19,0,0
TXN-10172,CUST-1115,414.9,jewelry,13,0,4,468.6,0,0
TXN-10173,CUST-1098,149.22,gaming,16,6,1,306.71,0,0
TXN-10174,CUST-1040,248.47,electronics,4,2,1,298.01,0,0
TXN-10175,CUST-1065,584.11,gaming,18,0,3,661.77,0,0
TXN-10176,CUST-1059,1325.12,utility,17,1,3,1434.4,0,0
TXN-10177,CUST-1008,28674.79,jewelry,14,0,9,657.2,0,1
TXN-10178,CUST-1074,317.37,electronics,9,3,2,563.83,0,0
TXN-10179,CUST-1054,1445.88,gaming,15,4,4,704.3,0,0
TXN-10180,CUST-1049,591.59,gaming,0,2,4,1234.35,0,0
TXN-10181,CUST-1013,439.91,travel,12,5,3,679.03,0,0
TXN-10182,CUST-1063,681.6,gaming,11,3,5,480.1,0,0
TXN-10183,CUST-1072,516.17,travel,15,6,5,1105.95,1,0
TXN-10184,CUST-1013,535.28,utility,12,5,3,761.9,0,0
TXN-10185,CUST-1079,362.76,restaurant,13,0,4,1400.61,0,0
TXN-10186,CUST-1020,172.68,restaurant,0,1,1,665.66,0,0
TXN-10187,CUST-1018,154.82,utility,11,5,2,306.91,1,0
TXN-10188,CUST-1050,804.27,gaming,18,3,0,283.59,1,1
TXN-10189,CUST-1048,400.4,utility,14,5,3,1492.21,0,0
TXN-10190,CUST-1114,1283.95,grocery,14,2,10,1553.11,0,0
TXN-10191,CUST-1008,495.9,electronics,1,0,0,545.26,0,0
TXN-10192,CUST-1043,894.44,fuel,12,5,1,487.48,0,0
TXN-10193,CUST-1091,2712.72,grocery,8,5,8,1344.52,0,0
TXN-10194,CUST-1031,301.26,restaurant,20,4,3,327.38,0,0
TXN-10195,CUST-1122,1236.1,utility,7,2,2,367.93,0,0
TXN-10196,CUST-1092,6383.11,electronics,16,0,11,857.34,0,1
TXN-10197,CUST-1118,714.02,fuel,11,5,5,484.43,0,1
TXN-10198,CUST-1118,1022.75,jewelry,1,4,5,600.15,0,1
TXN-10199,CUST-1013,1250.71,travel,7,4,4,550.1,0,0
TXN-10200,CUST-1057,1150.07,utility,21,1,1,724.63,0,0
TXN-10201,CUST-1093,781.0,restaurant,13,5,1,1305.2,0,0
TXN-10202,CUST-1001,771.83,fuel,12,5,3,632.59,0,0
